"""Location",River,Code,Longitude,Latitude,Capacity (acre-feet),Drainage area (square miles),Year completed,Type,Owner,Source Page,"""Reservoir",Creek/River,Lat,Long,Area,Volume,Year Built,"""State",Lake/River,Year,Entity,Name of Reservoir,Stream and Station No.,Basin Index and Latitude,Drainage Area (Square Miles),Storage in Acre-Feet,Usable,Use,Storage Records Published,"""Name of reservoir",Location and Basin,stream index and station no,Surface area (acres),Storage in acre-feet,Related River,Authority,Stream Index and Station No,Latitude and Longitude,Drainage Area (square miles),Dead Storage in acre feet,Total Storage in acre feet,Usable Storage in acre feet,Storage Ratio,Year Completed,Operator,Location,Reservoir Name,Stream,Basin Index and Station No,Square Miles,Usable Storage,Water Source,Coordinates,Drainage Basin,Index and ant stream station no,Date completed,Owner or operator,Storage records published,Basin Code,Surface (acres)
Paiited Rock,Gila River,OMF,33,113,53000,2000,1959,FIPR,Corps of Engineers,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picacho,McClellan Wash c/,09-5197,32,111,5824,7315,1956,FIPR,Bureau of Indian Affairs,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt,Salt River,9ME,33,111,6211,1264,1911,IP,Salt River Valley Water Users Assoc,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguaro Lake (Stewart Mountain Dam),Salt River,09-5010,33,111,12886,19580,1930,CFR,Salt River Valley Water Users Assoc,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Carlos (Coolidge Dam),Gila River,9MC,33,110,225,2230,1928,FPR,Bureau of Indian Affairs,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trilby Wash detention basin (McMicken Dam),Trilby Wash and other washes,09-4690,33,112,144,819,1956,FPR,Corps of Engineers,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitlow Ranch,Queen Creek,OMF,33,111,488,520,1960,FPR,Corps of Engineers,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek Lake,Bear Creek,09-5136,34,90,6036,11000,1938,FPR,US Forest Service,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Mountain,Petit Jean Creek,OME,35,93,1146,71240,1947,PA,Corps of Engineers,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull Shoals,White River,09-4785,36,92,1516,40500,1951,PA,Corps of Engineers,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greers Ferry,Little Red River,7GE,35,91,144,1940,Under const,PA,Corps of Engineers,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Catherine (Remmel Dam),Quachita River,7FB,34,92,237,438,1925,PA,Arkansas Power and Light Co,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Fort Smith,Frog Bayou,07-2590,35,94,1441,9800,1936,PA,City of Fort Smith Water Department,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Greeson (Narrows Dam),Little Missouri River,THA,34,93,1105,7195,1931,PA,Corps of Engineers,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Hamilton (Carpenter Dam),Ouachita River,07-0545,34,93,65,40100,1953,PA,Arkansas Power and Light Co,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Ouachita,Ouachita River,THE,35,94,435,710,1957,PA,Corps of Engineers,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Sheppard Springs,Prog Bayou,07-0753,34,92,53200,1240,1938,PA,City of Fort Smith Water Department,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Winona,Alum Fork,07-3590,34,92,2000,3834,PA,"City of Little Rock""",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60L,,,,,,,Water Supply and Storage Co,18,Black Hollow,Cache la Poudre River,40,104,752,170100,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06-7520 45,,,,,,,Smuggler Union Mining Co,18,Blue Lake No 1,Bridal Veil Creek tributary,37,107,385,13500,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9EF,,,,,,,Bureau of Reclamation,18,Bonny,South Fork Republican River,39,102,62,60000,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,09-1711 45,,,,,,,Northern Colorado Water Conservancy District,18,Boulder,Dry Creek,40,105,a50,116800,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6RK,,,,,,,Boyd Lake Reservair and Irrig Co,18,Boyd Lake,Big Thompson River,40,105,963,79060,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06-8260 00,,,,,,,Union Reservoir Co,18,Calkins Lake (Union),St Vrain Creek,40,105,5036,95960,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,607,,,,,,,Bureau of Reclamation,18,Carter Lake,Water from Colorado River basin,40,105,2022,23980,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06-7253 45,,,,,,,Water Supply and Storage Co,18,Chambers Lake,Joe Wright and Trap Creeks Fali River,40,105,950,97780,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60G,,,,,,,City of Denver,18,Cheesman Lake,South Platte River,39,105,1161,7480,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06-7413 57,,,,,,,Corps of Engineers,18,Cherry Creek,Cherry Creek,39,104,281,6014,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,607,,,,,,,Pueblo Water Works,18,Clear Creek,Clear Creek,39,106,871,168700,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06-7242 45,,,,,,,Windsor Reservoir and Canal Co,18,Cobb Lake,Cache la Poudre River,40,104,2634,15500,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60G,,,,,,,Santa Maria Reser- voir Co,18,Continental,North Clear Creek,37,107,414,31200,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06-7425 00,,,,,,,Pete Middlemist Huerfano Valley Ditch Co,18,Cove Lake,San Antonio River,37,105,773,12740,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60K,,,,,,,Windsor Reservoir and Canal Co,18,Cucharas Valley,Cucharas River,37,104,839,113500,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
